country,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5
AFG,1.135,1.554,0.839,0.141,0.01
ALB,43.186,48.005,21.758,10.154,0.337
ARE,77.949,99.586,99.009,1.341,0.325
ARG,123.273,146.103,6.001,1.296,0.139
ARM,3.356,2.232,1.066,0.428,0.013
AUS,0.192,0.202,0.208,0.067,0.007
AUT,9.803,8.066,3.603,0.784,0.041
AZE,23.413,24.559,15.138,7.663,0.329
BDI,0.024,0.045,0.035,0.072,0.072
BEL,25.755,24.902,6.313,1.138,0.076
BEN,21.697,28.941,6.276,0.775,0.063
BFA,15.92,22.49,10.148,0.292,0.104
BGD,46.6,60.563,10.389,1.931,0.134
BGR,12.83,14.025,5.108,2.017,0.059
BHR,38.78,48.412,7.875,1.308,0.122
BRA,6.489,8.113,1.039,0.614,0.03
BTN,45.05,61.716,3.628,0.704,0.068
CAF,4.931,8.006,4.348,0.311,0.075
CAN,1.813,2.103,1.439,0.406,0.04
CHE,8.58,10.514,6.476,2.273,0.132
CHL,0.023,0.03,0.009,0.003,0
CHN,6.813,8.656,1.896,0.847,0.02
CMR,34.322,52.709,10.006,0.772,0.136
COD,17.07,26.524,4.672,0.033,0.035
COL,27.138,26.442,5.346,2.262,0.072
CUB,0.945,1.125,1.013,0.761,0.049
CZE,13.02,12.363,4.496,2.479,0.085
DEU,15.205,13.492,6.646,2.774,0.074
DNK,0.092,0.097,0.064,0.025,0.001
DOM,37.272,42.64,8.38,3.373,0.153
DZA,38.185,43.488,4.399,1.479,0.077
ECU,25.548,32.706,5.528,0.77,0.108
EGY,19.395,20.484,4.999,1.552,0.099
ESP,18.824,19.52,1.203,0.545,0.012
EST,16.421,16.657,7.405,2.741,0.191
ETH,8.203,11.743,4.497,0.429,0.08
FIN,2.511,2.422,1.665,0.256,0.015
FJI,0.267,0.179,0.056,0.021,0.001
FRA,4.667,3.888,1.966,0.794,0.024
GAB,27.62,40.494,4.397,2.397,1.161
GBR,0.065,0.07,0.045,0.012,0.001
GEO,5.691,4.78,3.598,3.06,0.68
GHA,0,68.045,15.416,2.244,0.194
GMB,9.077,17.506,8.081,0.363,0.097
GRC,34.608,35.378,8.367,3.004,0.082
HRV,8.938,9.014,4.219,1.835,0.052
HUN,18.375,19.506,3.469,0.866,0.064
IDN,26.612,46.294,16.886,1.011,0.107
IND,28.756,48.357,14.951,2.471,0.111
IRL,28.467,26.553,16.442,2.912,0.239
IRN,6.306,7.721,1.18,0.59,0.024
IRQ,45.558,59.075,38.114,0.824,0.112
ISL,1.517,1.435,1.007,0.106,0.007
ISR,28.827,37.655,2.456,1.409,0.196
ITA,12.521,11.013,7.503,3.88,0.097
JOR,28.894,38.538,4.559,1.716,0.118
JPN,7.709,8.792,4.759,1.36,0.024
KAZ,16.528,25.921,22.271,5.321,0.51
KEN,26.186,37.764,5.812,0.892,0.183
KGZ,5.775,8.395,2.215,0.645,0.334
KHM,56.13,66.914,13.083,1.16,0.185
KOR,0.975,1.182,0.228,0.124,0.002
LBN,2.178,3.078,0.908,0.32,0.015
LBY,86.41,113.278,16.655,2.976,0.509
LTU,22.857,24.47,1.131,0.691,0.048
LUX,46.383,47.121,29.61,14.389,0.482
LVA,10.397,10.544,2.743,1.755,0.075
MAR,23.687,27.352,4.038,2.086,0.122
MDA,53.336,76.374,25.745,10.33,0.453
MDG,5.686,8.378,1.176,0.215,0.015
MEX,77.607,96.318,12.73,5.35,0.231
MLT,0.756,0.836,0.379,0.093,0.005
MNG,43.389,52.013,4.623,1.602,0.591
MOZ,6.714,9.431,4.258,0.155,0.042
MYS,0.17,0.225,0.102,0.021,0.001
NGA,15.194,22.939,10.861,1.16,0.129
NLD,45.14,51.094,3.527,1.148,0.045
NOR,2.364,2.419,1.101,0.156,0.011
NPL,13.333,13.807,10.628,2.518,0.103
NZL,0.072,0.078,0.042,0.017,0.001
OMN,11.893,15.586,15.568,0.509,0.059
PAK,2.14,4.414,1.905,0.424,0.126
PAN,4.642,5.665,0.375,0.126,0.017
PER,12.695,13.538,1.583,0.219,0.023
PHL,68.089,90.11,3.684,0.513,0.069
PNG,32.256,35.835,21.279,3.414,0.185
POL,0.152,0.11,0.083,0.06,0.003
PRI,19.693,19.153,7.893,5.445,0.187
PRT,23.246,26.011,4.792,1.632,0.043
QAT,140.877,183.562,166.419,2.992,0.417
ROU,11.987,13.246,5.246,2.335,0.07
RUS,6.177,5.468,2.259,1.708,0.112
RWA,0.848,1.39,3.639,0.992,0.184
SAU,5.887,6.539,0.336,0.058,0.005
SDN,42.732,54.133,53.985,0.835,0.257
SLV,9.839,12.173,1.235,0.457,0.057
SVK,0.509,0.501,0.208,0.118,0.004
SVN,0.244,0.275,0.196,0.076,0.002
SWE,31.079,35.659,11.024,1.592,0.146
SYR,29.194,39.991,4.72,0.168,0.159
TCD,8.835,14.033,4.444,0.504,0.048
THA,42.104,65.791,3.114,2.032,0.101
TJK,7.16,11.895,3.609,1.032,0.191
TUN,48.761,63.72,4.477,2.37,0.14
TUR,23.235,30.973,3.588,1.841,0.095
TWN,26.927,30.762,3.831,2.322,0.069
TZA,0.125,0.31,0.139,0.013,0.003
UGA,22.63,34.642,1.657,0.217,0.086
UKR,3.021,1.766,1.129,0.889,0.26
USA,0.2,0.216,0.435,0.218,0.022
UZB,34.886,42.469,5.571,0.458,0.105
VEN,60.155,74.711,20.957,7.657,0.377
VNM,30.001,36.674,17.695,5.706,0.191
VUT,38.326,43.252,26.278,1.385,0.205
YEM,5.663,9.164,9.027,0.149,0.036
ZAF,35.86,47.793,3.583,0.84,0.122
